rank,name,count
1,HARRY ,"7,523"
2,OLIVER ,"7,007"
3,JACK ,"6,844"
4,ALFIE ,"5,524"
5,CHARLIE ,"5,516"
6,THOMAS ,"5,353"
7,JACOB ,"5,047"
8,JAMES ,"4,945"
9,JOSHUA ,"4,786"
10,WILLIAM ,"4,632"
11,ETHAN ,"4,581"
12,GEORGE ,"4,347"
13,RILEY ,"4,226"
14,DANIEL ,"3,928"
15,SAMUEL ,"3,803"
16,NOAH ,"3,287"
17,OSCAR ,"3,251"
18,JOSEPH ,"3,089"
19,MOHAMMED ,"3,054"
20,MAX ,"3,043"
21,DYLAN ,"2,962"
22,MUHAMMAD ,"2,854"
23,ALEXANDER ,"2,819"
24,ARCHIE ,"2,805"
25,BENJAMIN ,"2,789"
26,LUCAS ,"2,716"
27,LEO ,"2,664"
28,HENRY ,"2,625"
29,JAKE ,"2,619"
30,LOGAN ,"2,549"
31,TYLER ,"2,520"
32,JAYDEN ,"2,353"
33,ISAAC ,"2,352"
34,FINLEY ,"2,245"
35,MASON ,"2,171"
36,RYAN ,"2,151"
37,HARRISON ,"2,122"
38,ADAM ,"2,062"
39,LEWIS ,"2,035"
40,EDWARD ,"1,935"
41,LUKE ,"1,830"
42,FREDDIE ,"1,819"
43,MATTHEW ,"1,743"
44,LIAM ,"1,690"
45,ZACHARY ,"1,664"
46,CALLUM ,"1,580"
47,SEBASTIAN ,"1,493"
48,CONNOR ,"1,471"
49,JAMIE ,"1,445"
50,THEO ,"1,407"
51,TOBY ,"1,389"
52,HARVEY ,"1,388"
53,MICHAEL ,"1,364"
54,NATHAN ,"1,319"
55,HARLEY ,"1,308"
56,KAI ,"1,211"
57,DAVID ,"1,163"
58,AARON ,"1,147"
59,ALEX ,"1,129"
60,CHARLES ,"1,090"
61,AIDEN ,"1,077"
62,LEON ,"1,069"
63,MOHAMMAD ,"1,037"
64,LUCA ,982
65,TOMMY ,980
66,FINLAY ,967
67,JENSON ,966
68,ARTHUR ,961
68,LOUIS ,961
70,RHYS ,946
71,OWEN ,943
72,REUBEN ,941
73,OLLIE ,933
74,LOUIE ,887
75,GABRIEL ,874
76,BOBBY ,869
77,CAMERON ,848
78,DEXTER ,833
79,BLAKE ,831
80,STANLEY ,824
81,KIAN ,800
82,EVAN ,770
83,JUDE ,764
84,FRANKIE ,756
85,ELLIOT ,755
86,HAYDEN ,747
87,ASHTON ,727
88,JOEL ,712
89,CALEB ,709
90,BAILEY ,704
91,ELIJAH ,701
92,TAYLOR ,696
93,ROBERT ,694
94,KAYDEN ,686
95,KYLE ,683
96,FREDERICK ,669
97,BEN ,667
98,REECE ,656
99,JACKSON ,647
100,JOHN ,645
